address,twitter_handle,pnl_30d,pnl_7d,pnl_1d,winrate_7d,txs_30d,token_active,last_active,is_blue_verified,avg_holding_period_7d,score,rank,last_updated,is_active,timestamp
DYAn4XpAkN5mhiXkRB7dGq4Jadnx6XYgu8L5b3WGhbrt,KayTheDoc,0.3297727187130491,0.3145754370999222,0.3482226592265655,0.6703703703703704,3209,274,1753027821,True,5878.94,0.3636593895408888,1,2025-07-20T15:40:39.187989,True,2025-07-20 15:40:39.208745
86AEJExyjeNNgcp7GrAvCXTDicf5aGWgoERbXFiG1EdD,publixplays,0.0598213880905948,0.076419484484898,0.0736267805634521,0.4423676012461059,6292,618,1753043527,True,968.02,0.3548326442726237,2,2025-07-20T15:40:39.189810,True,2025-07-20 15:40:39.209742
4DdrfiDHpmx55i4SPssxVzS9ZaKLb8qr45NKY9Er9nNh,TheMisterFrog,0.0667610130096091,0.0559484097920682,0.0387721766362859,0.8146341463414634,5069,212,1753038802,True,13296.96,0.3529275235320468,3,2025-07-20T15:40:39.193620,True,2025-07-20 15:40:39.209742
9FNz4MjPUmnJqTf6yEDbL1D4SsHVh7uA8zRHhR5K138r,0xSevere,0.0832055217628397,0.0318209487667962,-0.0108377221645265,0.5541871921182266,3510,411,1753043527,True,10108.62,0.3484556583766885,4,2025-07-20T15:40:39.191079,True,2025-07-20 15:40:39.209742
4S9U8HckRngscHWrW418cG6Suw62dhEZzmyrT2hxSye5,polarsterrr,0.063917422403141,0.0520300639764781,-0.1100935123154364,0.4455066921606118,5266,511,1753043496,True,11885.9,0.335327906813775,5,2025-07-20T15:40:39.191079,True,2025-07-20 15:40:39.209742
EaVboaPxFCYanjoNWdkxTbPvt57nhXGu5i6m9m6ZS2kK,cladzsol,0.1332566287001366,0.2083584164748145,0.0107784219871303,0.5342019543973942,5572,298,1753043400,True,53777.74,0.3334875037203976,6,2025-07-20T15:40:39.186982,True,2025-07-20 15:40:39.209742
BCnqsPEtA1TkgednYEebRpkmwFRJDCjMQcKZMMtEdArc,kreo444,0.2121617245400393,0.0905112027390595,0.0588636460200445,0.5033112582781457,4936,290,1753042808,True,56.28,0.3320659450687857,7,2025-07-20T15:40:39.185525,True,2025-07-20 15:40:39.209742
6PCniazSc5YpjYSc9e8A7Chx3QpGUqim3L2eU6h7sNf8,,0.5893525768983717,0.5893525768983717,0.1866759898328335,0.7894736842105263,96,20,1753039013,False,28681.28571428572,0.3183373600401453,8,2025-07-20T15:40:39.197904,True,2025-07-20 15:40:39.209742
Dvjs6ArwiX1PzX9ZaaqutdAi7yAKKsdN5wvq88u9yCav,,4.878024081183931,4.878024081183931,0.3086696195034495,0.6981132075471698,109,54,1752989117,False,14528.5625,0.3153018510844693,9,2025-07-20T15:40:39.196874,True,2025-07-20 15:40:39.209742
GJA1HEbxGnqBhBifH9uQauzXSB53to5rhDrzmKxhSU65,Latuche95,0.065376378678055,0.0516951873390926,-0.051146129059402,0.4745762711864407,6580,418,1753037342,True,13637.72,0.315101154102757,10,2025-07-20T15:40:39.185908,True,2025-07-20 15:40:39.209742
168eS83Tx5C4PCMCT4eKtnyLyk5wQEtJKtSrqk41L9d,,0.6102763836304008,0.6102763836304008,-0.0960287320990714,0.5454545454545454,496,22,1753026007,False,45568.0,0.2991707737715838,11,2025-07-20T15:40:39.192623,True,2025-07-20 15:40:39.209742
8MaVa9kdt3NW4Q5HyNAm1X5LbR8PQRVDc1W8NMVK88D5,daumeneth,0.1494612675948158,0.0009138689378147,0.2118263629224269,0.6376811594202898,3028,69,1753028485,True,34433.14,0.2987723012767469,12,2025-07-20T15:40:39.196874,True,2025-07-20 15:40:39.209742
mW4PZB45isHmnjGkLpJvjKBzVS5NXzTJ8UDyug4gTsM,igndex,0.0525222639276799,0.0784762329564083,-0.1409486613080413,0.448780487804878,7874,432,1753028686,True,31165.56,0.2984653694513662,13,2025-07-20T15:40:39.191079,True,2025-07-20 15:40:39.209742
EHg5YkU2SZBTvuT87rUsvxArGp3HLeye1fXaSDfuMyaf,tilcrypto,0.084986891985653,0.1241075462018934,0.2275075603778248,0.4653846153846154,3098,231,1753036111,True,387.28,0.2947047186449195,14,2025-07-20T15:40:39.197904,True,2025-07-20 15:40:39.209742
J485YzQjuJPLYoFEYjrjxd7NAoLHTiyUU63JwK7kLxRr,HunterOnlyETH,0.1488127468557809,0.0992300090896496,0.0235555702850325,0.56,2530,74,1753022809,True,24456.69387755102,0.2877243576538352,15,2025-07-20T15:40:39.197904,True,2025-07-20 15:40:39.209742
FRbUNvGxYNC1eFngpn7AD3f14aKKTJVC6zSMtvj2dyCS,henn100x,0.1287037335993287,0.1557387238038962,0.2850003609159834,0.4418604651162791,6062,413,1753030727,True,67.98,0.2873618903376415,16,2025-07-20T15:40:39.197904,True,2025-07-20 15:40:39.209742
Av3xWHJ5EsoLZag6pr7LKbrGgLRTaykXomDD5kBhL9YQ,Heyitsyolotv,0.1353639743077029,0.1540564215290287,,0.5254237288135594,4784,168,1752584565,True,69.26,0.2764388406025291,17,2025-07-20T15:40:39.197904,True,2025-07-20 15:40:39.209742
Hnnw2hAgPgGiFKouRWvM3fSk3HnYgRv4Xq1PjUEBEuWM,,0.1967913232802118,0.2320479501065346,,0.4212454212454212,2019,278,1752918593,False,28828.66,0.2611450437069901,18,2025-07-20T15:40:39.195877,True,2025-07-20 15:40:39.209742
