timestamp,open,high,low,close,volume
2025-09-02 17:00:00,4296.3,4319.53,4331.08,4288.33,4089.189161
2025-09-02 18:00:00,4319.52,4296.7,4322.69,4267.27,5404.2299604
2025-09-02 19:00:00,4296.85,4274.66,4313.96,4258.13,3776.1027524
2025-09-02 20:00:00,4274.4,4312.95,4327.49,4266.71,5366.1172359
2025-09-02 21:00:00,4312.95,4328.88,4335.4,4305.46,2704.0117358
2025-09-02 22:00:00,4329.03,4329.11,4332.99,4309.34,3691.955399
2025-09-02 23:00:00,4329.21,4325.78,4336.93,4314.13,2764.6182378
2025-09-03 00:00:00,4325.79,4310.25,4332.53,4304.58,3095.0220567
2025-09-03 01:00:00,4310.26,4325.49,4325.5,4284.0,2775.648492
2025-09-03 02:00:00,4325.36,4338.47,4355.32,4312.78,3080.483465
2025-09-03 03:00:00,4338.46,4335.23,4344.18,4321.11,3054.3447238
2025-09-03 04:00:00,4335.22,4339.91,4342.3,4313.73,2006.842796
2025-09-03 05:00:00,4339.9,4314.9,4340.75,4313.84,1805.3290008
2025-09-03 06:00:00,4315.02,4308.08,4320.98,4292.12,3268.1466301
2025-09-03 07:00:00,4308.05,4310.27,4315.94,4286.73,2425.3925442
2025-09-03 08:00:00,4310.26,4318.08,4332.78,4308.02,2020.6443681
2025-09-03 09:00:00,4318.11,4351.71,4352.52,4303.17,1864.7357933
2025-09-03 10:00:00,4351.78,4371.75,4377.34,4344.57,2916.95665095
2025-09-03 11:00:00,4371.74,4371.77,4385.65,4366.79,2518.520536
2025-09-03 12:00:00,4371.77,4354.61,4379.6,4341.5,3396.2133215
2025-09-03 13:00:00,4354.47,4418.72,4440.0,4351.0,7106.77907032
2025-09-03 14:00:00,4418.72,4466.48,4480.65,4415.77,5410.64517578
2025-09-03 15:00:00,4466.64,4479.6,4486.21,4453.86,3034.2535187
2025-09-03 16:00:00,4479.6,4466.69,4483.49,4453.95,3252.55988902
2025-09-03 17:00:00,4466.68,4472.13,4490.31,4466.04,3068.0777644
2025-09-03 18:00:00,4472.14,4468.86,4479.27,4458.23,2688.551163
2025-09-03 19:00:00,4468.85,4474.95,4478.03,4458.99,2298.5768869
2025-09-03 20:00:00,4475.01,4464.49,4479.51,4463.78,1464.03492524
2025-09-03 21:00:00,4464.5,4460.75,4472.79,4434.76,1193.0456672
2025-09-03 22:00:00,4460.74,4469.5,4482.24,4459.07,1640.5119809
2025-09-03 23:00:00,4469.5,4450.52,4471.63,4444.27,2160.3704012
2025-09-04 00:00:00,4450.52,4468.34,4482.47,4446.09,2585.8007693
2025-09-04 01:00:00,4468.44,4468.5,4478.56,4450.46,2264.9946318
2025-09-04 02:00:00,4468.51,4420.87,4470.91,4420.04,2996.828833
2025-09-04 03:00:00,4420.99,4397.82,4429.32,4389.8,3596.0471233
2025-09-04 04:00:00,4398.25,4392.1,4414.0,4388.23,3168.9552875
2025-09-04 05:00:00,4392.1,4375.28,4392.1,4362.79,3488.3296904
2025-09-04 06:00:00,4375.28,4365.13,4382.77,4355.96,3494.3461945
2025-09-04 07:00:00,4365.13,4371.13,4382.92,4363.7,1384.3474946
2025-09-04 08:00:00,4371.13,4369.74,4391.73,4365.64,2031.03227005
2025-09-04 09:00:00,4369.74,4395.61,4395.61,4369.74,1205.75021838
2025-09-04 10:00:00,4395.61,4407.96,4433.28,4393.14,2756.63361275
2025-09-04 11:00:00,4407.95,4407.12,4432.84,4393.25,2459.3755858
2025-09-04 12:00:00,4407.13,4416.21,4428.46,4383.79,3325.89609353
2025-09-04 13:00:00,4416.25,4377.41,4419.16,4365.75,4511.68684658
2025-09-04 14:00:00,4377.54,4341.57,4382.26,4327.77,5901.8298115
2025-09-04 15:00:00,4341.58,4305.55,4346.22,4294.38,5558.58712367
2025-09-04 16:00:00,4305.54,4296.2,4319.46,4285.22,4398.76862763
2025-09-04 17:00:00,4296.28,4306.0,4323.06,4295.85,2336.98407841
2025-09-04 18:00:00,4305.96,4274.0,4318.09,4271.04,3982.81404377
2025-09-04 19:00:00,4273.83,4276.06,4287.44,4265.63,2770.73511519
2025-09-04 20:00:00,4276.05,4306.46,4309.87,4272.59,3220.17844751
2025-09-04 21:00:00,4306.11,4319.69,4325.6,4302.83,1314.1529706
2025-09-04 22:00:00,4319.68,4341.47,4353.22,4316.98,3033.6995734
2025-09-04 23:00:00,4342.0,4298.03,4349.72,4296.02,3445.7978704
2025-09-05 00:00:00,4297.92,4301.52,4313.78,4289.48,3192.8548183
2025-09-05 01:00:00,4301.34,4325.8,4332.85,4298.69,2764.0556929
2025-09-05 02:00:00,4325.81,4324.01,4335.17,4300.0,4211.4377433
2025-09-05 03:00:00,4324.01,4328.9,4332.16,4298.02,3165.4350846
2025-09-05 04:00:00,4328.9,4330.85,4334.9,4316.76,1793.8860795
2025-09-05 05:00:00,4330.85,4338.24,4341.69,4326.95,1999.8517489
2025-09-05 06:00:00,4338.24,4333.6,4341.26,4322.25,1926.5037569
2025-09-05 07:00:00,4332.66,4417.0,4428.63,4331.89,8408.30308316
2025-09-05 08:00:00,4417.0,4406.44,4420.18,4386.89,3455.68608703
2025-09-05 09:00:00,4406.39,4397.5,4408.48,4373.41,2847.2743865
2025-09-05 10:00:00,4397.5,4409.97,4422.49,4395.5,2293.47247759
2025-09-05 11:00:00,4409.97,4417.42,4426.43,4406.76,2149.70534519
2025-09-05 12:00:00,4417.42,4470.32,4492.07,4407.4,15933.63237008
2025-09-05 13:00:00,4470.36,4442.43,4479.11,4435.03,7780.9188504
2025-09-05 14:00:00,4442.38,4274.01,4442.38,4263.66,12066.14693201
2025-09-05 15:00:00,4273.74,4282.96,4304.65,4255.06,3316.07011669
2025-09-05 16:00:00,4283.12,4297.95,4303.66,4275.08,2368.9531481
2025-09-05 17:00:00,4297.95,4289.74,4298.93,4273.0,3614.52123913
2025-09-05 18:00:00,4289.75,4312.89,4317.31,4284.67,2209.2793849
2025-09-05 19:00:00,4312.88,4331.41,4331.81,4306.62,2026.479604
2025-09-05 20:00:00,4331.41,4338.15,4342.81,4321.74,2030.0472151
2025-09-05 21:00:00,4338.16,4297.22,4338.99,4286.61,3199.3124942
2025-09-05 22:00:00,4297.19,4313.28,4319.6,4295.71,1806.7988291
2025-09-05 23:00:00,4313.28,4307.2,4319.07,4304.21,1317.1697308
2025-09-06 00:00:00,4307.21,4323.24,4328.44,4303.09,1400.74796154
2025-09-06 01:00:00,4323.24,4318.37,4324.89,4313.01,916.76832231
2025-09-06 02:00:00,4318.38,4323.01,4323.01,4304.96,919.1420086
2025-09-06 03:00:00,4322.91,4320.14,4324.56,4316.28,1054.5757841
2025-09-06 04:00:00,4320.15,4309.22,4320.15,4303.68,947.1757816
2025-09-06 05:00:00,4309.23,4295.32,4311.97,4291.01,1613.3182059
2025-09-06 06:00:00,4295.32,4302.63,4306.93,4293.37,1143.23683112
