timestamp,overall_sentiment,sentiment_score,confidence,total_tokens_analyzed,bullish_tokens,bearish_tokens,neutral_tokens,SOL_action,SOL_sentiment_score,SOL_confidence,SOL_price,SOL_market_regime,WIF_action,WIF_sentiment_score,WIF_confidence,WIF_price,WIF_market_regime,BOME_action,BOME_sentiment_score,BOME_confidence,BOME_price,BOME_market_regime,JTO_action,JTO_sentiment_score,JTO_confidence,JTO_price,JTO_market_regime,PYTH_action,PYTH_sentiment_score,PYTH_confidence,PYTH_price,PYTH_market_regime
1767072562.062829,BULLISH,53.57,74.25,5,3,0,2,NOTHING,0.0,65.0,123.59,VOLATILE_BREAKOUT,BUY,100.0,85,0.28886,VOLATILE_BREAKOUT,BUY,100.0,75,0.000537,VOLATILE_BREAKOUT,NOTHING,-28.6,65,0.3876,SIDEWAYS,BUY,100.0,90,0.058239,NEUTRAL
1767074150.659568,BULLISH,59.62,74.5,5,4,0,1,NOTHING,0.0,65.0,123.43,VOLATILE_BREAKOUT,BUY,100.0,85,0.28779,VOLATILE_BREAKOUT,BUY,100.0,75,0.000537,VOLATILE_BREAKOUT,BUY,92.4,70,0.38781,SIDEWAYS,BUY,100.0,90,0.058241,NEUTRAL
1767075182.01889,BULLISH,59.95,72.5,5,4,0,1,NOTHING,0.0,65.0,123.61,VOLATILE_BREAKOUT,BUY,100.0,80,0.28788,VOLATILE_BREAKOUT,BUY,100.0,75,0.000537,VOLATILE_BREAKOUT,BUY,99.0,75,0.3877,SIDEWAYS,BUY,100.0,75,0.058418,NEUTRAL
1767075952.717695,BULLISH,59.95,73.25,5,4,0,1,NOTHING,0.0,65.0,123.67,VOLATILE_BREAKOUT,BUY,100.0,80,0.28701,VOLATILE_BREAKOUT,BUY,100.0,75,0.000538,VOLATILE_BREAKOUT,BUY,99.0,75,0.38732,SIDEWAYS,BUY,100.0,90,0.058333,NEUTRAL
1767076222.18396,BULLISH,59.95,74.5,5,4,0,1,NOTHING,0.0,65.0,123.7,VOLATILE_BREAKOUT,BUY,100.0,85,0.28694,VOLATILE_BREAKOUT,BUY,100.0,75,0.000537,VOLATILE_BREAKOUT,BUY,99.0,75,0.38773,SIDEWAYS,BUY,100.0,85,0.058342,NEUTRAL
1767077010.20906,BULLISH,59.95,74.0,5,4,0,1,NOTHING,0.0,65.0,123.93,VOLATILE_BREAKOUT,BUY,100.0,85,0.28788,VOLATILE_BREAKOUT,BUY,100.0,75,0.000538,VOLATILE_BREAKOUT,BUY,99.0,75,0.38877,SIDEWAYS,BUY,100.0,75,0.058518,NEUTRAL
1767077810.397849,BULLISH,59.95,72.5,5,4,0,1,NOTHING,0.0,65.0,123.88,VOLATILE_BREAKOUT,BUY,100.0,80,0.2874,VOLATILE_BREAKOUT,BUY,100.0,75,0.000537,VOLATILE_BREAKOUT,BUY,99.0,75,0.38725,SIDEWAYS,BUY,100.0,75,0.058401,NEUTRAL
1767078840.275931,BULLISH,59.95,72.5,5,4,0,1,NOTHING,0.0,65.0,124.03,VOLATILE_BREAKOUT,BUY,100.0,80,0.28812,VOLATILE_BREAKOUT,BUY,100.0,75,0.000537,VOLATILE_BREAKOUT,BUY,99.0,75,0.38663,SIDEWAYS,BUY,100.0,75,0.058497,NEUTRAL
1767079613.177834,BULLISH,59.95,75.5,5,4,0,1,NOTHING,0.0,65.0,123.88,VOLATILE_BREAKOUT,BUY,100.0,90,0.28751,VOLATILE_BREAKOUT,BUY,100.0,75,0.000539,VOLATILE_BREAKOUT,BUY,99.0,75,0.38593,SIDEWAYS,BUY,100.0,75,0.058471,NEUTRAL
1767079618.16477,BULLISH,59.95,75.0,5,4,0,1,NOTHING,0.0,65.0,123.88,VOLATILE_BREAKOUT,BUY,100.0,85,0.28747,VOLATILE_BREAKOUT,BUY,100.0,80,0.000539,VOLATILE_BREAKOUT,BUY,99.0,75,0.38593,SIDEWAYS,BUY,100.0,75,0.058471,NEUTRAL
